Source,Target,Value
1962-1971_C_2,1972-1981_E_1,1
1977-1986_F_0,1982-1991_G_3,2
1977-1986_F_3,1992-2001_I_5,1
1977-1986_F_2,1992-2001_I_0,1
1982-1991_G_11,1992-2001_I_7,1
1957-1966_B_1,1972-1981_E_1,2
1987-1996_H_6,1992-2001_I_0,1
1967-1976_D_0,1982-1991_G_4,1
1977-1986_F_2,1992-2001_I_6,1
1957-1966_B_1,1982-1991_G_2,1
1957-1966_B_0,1972-1981_E_2,1
1952-1961_A_2,1957-1966_B_2,1
1957-1966_B_2,1972-1981_E_1,1
1967-1976_D_5,1982-1991_G_0,1
1967-1976_D_5,1972-1981_E_0,1
1957-1966_B_0,1977-1986_F_4,1
1957-1966_B_2,1962-1971_C_0,1
1962-1971_C_0,1977-1986_F_2,1
1982-1991_G_3,1992-2001_I_3,1
1962-1971_C_2,1987-1996_H_0,1
1967-1976_D_2,1977-1986_F_2,1
1957-1966_B_1,1972-1981_E_2,1
1967-1976_D_0,1972-1981_E_0,1
1982-1991_G_4,1992-2001_I_12,1
